item_id,current_global_qty,max_global_qty,global_inv_level
390,216,216,1.0
391,15,15,1.0
392,1080,1080,1.0
393,360,360,1.0
394,630,630,1.0
395,108,108,1.0
396,120,120,1.0
397,288,288,1.0
398,1020,1020,1.0
399,400,400,1.0
400,252,252,1.0
401,360,360,1.0
402,847,847,1.0
403,480,480,1.0
404,480,480,1.0
405,385,385,1.0
406,1056,1056,1.0
407,1728,1728,1.0
408,480,480,1.0
409,240,240,1.0
410,336,336,1.0
411,1152,1152,1.0
412,1920,1920,1.0
413,576,576,1.0
414,231,231,1.0
415,252,252,1.0
416,220,220,1.0
417,360,360,1.0
418,270,270,1.0
419,432,432,1.0
420,400,400,1.0
421,720,720,1.0
422,336,336,1.0
423,288,288,1.0
424,1056,1056,1.0
425,1080,1080,1.0
426,252,252,1.0
427,216,216,1.0
428,120,120,1.0
429,288,288,1.0
430,120,120,1.0
431,80,80,1.0
432,144,144,1.0
433,384,384,1.0
434,504,504,1.0
435,117,117,1.0
436,288,288,1.0
437,224,224,1.0
438,288,288,1.0
439,96,96,1.0
440,144,144,1.0
441,420,420,1.0
442,2688,2688,1.0
443,5760,5760,1.0
444,96,96,1.0
445,120,120,1.0
446,70,70,1.0
447,720,720,1.0
448,847,847,1.0
449,1680,1680,1.0
450,144,144,1.0
451,648,648,1.0
452,120,120,1.0
453,1260,1260,1.0
454,135,135,1.0
455,440,440,1.0
456,56,56,1.0
457,240,240,1.0
458,168,168,1.0
459,288,288,1.0
460,240,240,1.0
461,300,300,1.0
462,420,420,1.0
463,2040,2040,1.0
464,4368,4368,1.0
465,120,120,1.0
466,80,80,1.0
467,2016,2016,1.0
468,1680,1680,1.0
469,104,104,1.0
470,720,720,1.0
471,864,864,1.0
472,616,616,1.0
473,900,900,1.0
474,288,288,1.0
475,240,240,1.0
476,288,288,1.0
477,270,270,1.0
478,640,640,1.0
479,576,576,1.0
480,135,135,1.0
481,1470,1470,1.0
482,288,288,1.0
483,240,240,1.0
484,5616,5616,1.0
485,200,200,1.0
486,128,128,1.0
487,480,480,1.0
488,336,336,1.0
489,180,180,1.0
490,243,243,1.0
491,1248,1248,1.0
492,1512,1512,1.0
493,504,504,1.0
494,768,768,1.0
495,390,390,1.0
496,224,224,1.0
497,270,270,1.0
498,360,360,1.0
499,1440,1440,1.0
