pod_id,item_id,qty,order_id,processed_time,task_type
49,208,6,258,2195,1
64,38,9,280,2197,1
40,33,4,196,2209,1
6,1,11,180,2230,1
331,83,8,150,2230,1
127,187,1,152,2234,1
122,30,4,290,2243,1
18,28,5,261,2259,1
74,36,6,-97,2273,1
28,39,4,253,2289,1
1,7,5,250,2297,1
242,209,5,180,2299,1
292,241,3,27,2309,1
85,247,6,152,2312,1
20,298,7,188,2319,1
35,1,3,196,2321,1
172,91,9,268,2343,1
26,14,2,282,2352,1
318,405,6,147,2367,1
0,38,10,282,2375,1
405,425,4,308,2388,1
19,1,11,250,2395,1
12,45,2,30,2405,1
9,0,7,257,2411,1
57,27,8,30,2427,1
37,33,10,-97,2440,1
68,23,8,177,2449,1
80,401,4,152,2450,1
170,54,6,257,2465,1
117,176,6,-24,2465,1
340,14,5,30,2466,1
13,165,7,234,2485,1
97,8,7,291,2485,1
289,153,4,235,2491,1
375,219,6,234,2503,1
17,149,11,320,2513,1
360,170,6,-4,2513,1
59,39,6,252,2531,1
213,244,4,240,2535,1
38,9,4,248,2541,1
186,219,6,336,2560,1
4,9,5,281,2579,1
135,41,10,278,2598,1
34,32,10,248,2603,1
114,14,5,342,2615,1
155,22,8,301,2620,1
75,188,5,179,2623,1
40,3,2,322,2630,1
61,21,4,219,2633,1
1,14,4,332,2648,1
35,105,12,266,2653,1
