replication,seed,mode,max_ticks,fast_io,backend_steps,simulation_tick,throughput,avg_order_completion_time,pod_visits,pile_on_rate,picked_quantity,total_energy,stop_and_go,total_turning,setup_seconds,run_seconds,total_seconds,model_path
1,20260527,rika,3000.0,False,20000,3000.0,416,166.28605769230768,464,8.629310344827585,4004,5798973.83324793,8531,6260,101.2281893431209,1493.52824669471,1594.756436037831,
1,20260527,random,3000.0,False,20000,3000.0,448,154.0625,362,5.886740331491713,2131,4471089.927270196,7389,5481,89.4548370107077,1253.288456597831,1342.7432936085388,
1,20260527,ppo,3000.0,False,20000,3000.0,448,128.88169642857142,376,6.0638297872340425,2280,4773450.582170849,7676,5670,108.46349204191938,1381.0295836520381,1489.4930756939575,
2,20260528,rika,3000.0,False,20000,3000.0,391,176.65728900255755,472,8.336864406779661,3935,5896998.697248406,8718,6279,64.01184200262651,1420.3843283676542,1484.3961703702807,
2,20260528,random,3000.0,False,20000,3000.0,429,154.7972027972028,371,5.555256064690027,2061,4665045.459674234,7657,5605,78.7479667016305,1239.3327703448012,1318.0807370464318,
2,20260528,ppo,3000.0,False,20000,3000.0,433,160.75519630484987,378,5.642857142857143,2133,4915666.342047132,7691,5601,73.17547015985474,1409.285892825108,1482.4613629849628,
3,20260529,rika,3000.0,False,20000,3000.0,379,183.4089709762533,469,8.810234541577826,4132,5931082.4549807785,8665,6352,78.43068134179339,1557.4629370719194,1635.8936184137128,
3,20260529,random,3000.0,False,20000,3000.0,412,151.79611650485438,367,6.032697547683924,2214,4647918.120953848,7546,5413,63.52398191485554,1280.2742873863317,1343.7982693011872,
3,20260529,ppo,3000.0,False,20000,3000.0,422,149.62559241706163,385,5.955844155844156,2293,4844411.365806953,7476,5471,70.52950473781675,1397.1978693199344,1467.7273740577511,
4,20260530,rika,3000.0,False,20000,3000.0,397,174.60705289672543,474,8.40084388185654,3982,5973972.819710621,8699,6371,57.63972600689158,1455.7215946982615,1513.361320705153,
4,20260530,random,3000.0,False,20000,3000.0,435,157.71494252873563,384,5.783854166666667,2221,4749917.551787618,7737,5655,72.01579245971516,1259.917528137099,1331.9333205968142,
4,20260530,ppo,3000.0,False,20000,3000.0,429,155.78088578088577,362,6.0,2172,5296938.830591299,7449,5466,75.09831491718069,1350.3794159609824,1425.4777308781631,
5,20260531,rika,3000.0,False,20000,3000.0,405,171.62962962962962,484,8.50206611570248,4115,5817518.412819117,8873,6434,89.94211584609002,1449.6506516421214,1539.5927674882114,
