mode,n,throughput_mean,throughput_std,throughput_min,throughput_max,avg_order_completion_time_mean,avg_order_completion_time_std,avg_order_completion_time_min,avg_order_completion_time_max,pod_visits_mean,pod_visits_std,pod_visits_min,pod_visits_max,pile_on_rate_mean,pile_on_rate_std,pile_on_rate_min,pile_on_rate_max,picked_quantity_mean,picked_quantity_std,picked_quantity_min,picked_quantity_max,total_energy_mean,total_energy_std,total_energy_min,total_energy_max,stop_and_go_mean,stop_and_go_std,stop_and_go_min,stop_and_go_max,total_turning_mean,total_turning_std,total_turning_min,total_turning_max,run_seconds_mean,run_seconds_std,run_seconds_min,run_seconds_max
rika,30,397.1666666666667,11.86441603350506,379.0,433.0,173.93796865760638,5.356142430441332,160.36720554272517,183.4089709762533,474.53333333333336,7.881595030822445,462.0,495.0,8.423047235314375,0.1809450727079324,8.07643312101911,8.810234541577826,3996.233333333333,72.65349189858304,3804.0,4132.0,5941432.52009125,111429.18332605659,5667363.9654878825,6131754.4779125275,8744.933333333332,103.05336191652775,8531.0,8959.0,6413.8,98.71917676960726,6260.0,6642.0,1437.4081773416294,77.52983575451462,1321.645360849332,1748.2922361162491
random,30,431.8,25.812854322524313,317.0,468.0,153.87979806556572,5.319277116937581,143.00213675213675,162.20560747663552,371.4,19.853949489832686,282.0,404.0,5.895825183218676,0.2014285134568673,5.468421052631579,6.372340425531915,2189.4333333333334,135.69176107261822,1674.0,2485.0,4675222.27536117,262951.2440129605,3436506.656124288,4927148.074191043,7603.533333333334,378.79798394880373,5706.0,7928.0,5581.033333333334,290.41224959123826,4148.0,5815.0,1273.9216642567578,238.23837578498097,995.1750582191162,2499.1532882018946
ppo,30,433.8,12.410785076170505,412.0,458.0,151.92037576397203,6.875626886124932,128.88169642857142,165.65707434052757,374.8,10.886245671836834,358.0,409.0,5.915330369511814,0.1467706714851203,5.642857142857143,6.25,2217.366666666667,92.74826267852707,2068.0,2460.0,4785722.18708315,174819.9934319951,4466597.433020259,5296938.830591299,7636.9,131.7168724300673,7417.0,7975.0,5623.5,105.64734766649619,5414.0,5865.0,1392.0504809048957,42.14360299462123,1328.403496989049,1537.4048573542386
